,Id,PID,Lot Frontage,Lot Area,Street,Overall Qual,Overall Cond,Home Age,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Age,Garage Cars,Garage Area,Garage Qual,Garage Cond,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Misc Val,Mo Sold,Yr Sold,SalePrice,Neighborhood Quality,Above Ground SF,Baths,Finished Basement,Finished Bsmt YN,Outdoor SF,Total Quality,Total Quality * Above Ground SF,Home Age^2,2nd Flr SF^2,Foundation_PConc,Neighborhood_NridgHt,Garage Finish_Unf,Garage Finish_Fin,Mas Vnr Type_None,Bsmt Exposure_Gd,Garage Type_Detchd,MS SubClass_60,Foundation_CBlock,Garage Type_Attchd,Sale Type_New,Exterior 1st_VinylSd,Exterior 2nd_VinylSd,Mas Vnr Type_Stone,Lot Shape_Reg,Bsmt Exposure_No,Paved Drive_Y,MS Zoning_RM,Lot Shape_IR1,Roof Style_Hip,Paved Drive_N,Neighborhood_NoRidge,Mas Vnr Type_BrkFace,Neighborhood_StoneBr,Roof Style_Gable,Electrical_SBrkr
0,109,533352170,80.9919267873191,13517,1,6,8,34,2005,289.0,4,3,3,3,6,533.0,1,0.0,192.0,725.0,5,1,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,0,0,43.0,2.0,475.0,3,3,0,44,0,0,0,0,0,0,3,2010,130500,3,1479,2.6,3198.0,1,44,17,25143,1156,568516,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1
1,544,531379050,43.0,11492,1,7,5,14,1997,132.0,4,3,4,3,6,637.0,1,0.0,276.0,913.0,5,1,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,1,3,22.0,2.0,559.0,3,3,0,74,0,0,0,0,0,0,4,2009,220000,4,2122,3.25,3822.0,1,74,19,40318,196,1461681,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1
2,153,535304180,68.0,7922,1,5,7,57,2007,0.0,3,4,3,3,6,731.0,1,0.0,326.0,1057.0,3,1,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,0,0,66.0,1.0,246.0,3,3,0,52,0,0,0,0,0,0,1,2010,109000,3,1057,1.7000000000000002,4386.0,1,52,15,15855,3249,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1
3,318,916386060,73.0,9802,1,5,5,4,2007,0.0,3,3,4,3,1,0.0,1,0.0,384.0,384.0,4,1,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,0,0,12.0,2.0,400.0,3,3,100,0,0,0,0,0,0,0,4,2010,174000,6,1444,2.6,0.0,0,100,15,21660,16,490000,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1
4,255,906425045,82.0,14235,1,6,8,110,1993,0.0,3,3,2,4,1,0.0,1,0.0,676.0,676.0,3,1,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,0,0,62.0,2.0,484.0,3,3,0,59,0,0,0,0,0,0,3,2010,138500,4,1445,2.1,0.0,0,59,14,20230,12100,376996,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1
5,138,535126040,137.0,16492,1,6,6,44,2002,0.0,4,3,3,3,5,247.0,3,713.0,557.0,1517.0,5,1,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,1,4,53.0,2.0,578.0,3,3,0,0,0,0,0,0,0,0,6,2010,190000,3,1888,2.6,3374.0,1,0,17,32096,1936,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1
6,2827,908186070,35.0,3675,1,6,5,5,2006,82.0,3,3,4,3,6,547.0,1,0.0,0.0,547.0,4,1,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,0,0,14.0,2.0,525.0,3,3,0,44,0,0,0,0,0,0,6,2006,140000,2,1072,2.75,3282.0,1,44,16,17152,25,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1
7,145,535154050,77.24387975755744,12160,1,5,5,51,1959,180.0,3,3,3,3,3,1000.0,1,0.0,188.0,1188.0,2,1,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,0,0,60.0,2.0,531.0,3,3,0,0,0,0,0,0,0,0,5,2010,142000,3,1188,1.7000000000000002,3000.0,1,0,14,16632,2601,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1
8,1942,535353130,86.2710106344483,15783,1,5,5,58,1952,0.0,3,3,3,3,3,292.0,1,0.0,632.0,924.0,3,1,924,0,0,924,0.0,0.0,1,0,2,1,3,6,0,0,67.0,1.0,420.0,3,3,0,324,0,0,0,0,0,400,6,2007,112500,1,924,1.05,876.0,1,324,14,12936,3364,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
9,1956,535426130,70.0,11606,1,5,5,41,1969,192.0,3,3,4,3,3,650.0,1,0.0,390.0,1040.0,3,1,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,2,3,50.0,2.0,504.0,3,3,335,0,0,0,0,0,0,0,9,2007,135000,3,2080,2.25,1950.0,1,335,14,29120,1681,1081600,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
10,1044,527451290,21.0,1680,1,6,5,39,1971,232.0,3,3,3,3,5,387.0,1,0.0,96.0,483.0,3,1,483,504,0,987,0.0,0.0,1,1,2,1,3,4,0,0,48.0,1.0,264.0,3,3,0,0,0,0,0,0,0,0,7,2008,85400,1,987,1.55,1935.0,1,0,15,14805,1521,254016,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1
11,2752,906380150,64.0,7488,1,7,5,5,2005,0.0,4,3,4,3,6,393.0,1,0.0,815.0,1208.0,5,1,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,0,0,14.0,2.0,632.0,3,3,105,58,0,0,0,0,0,0,2,2006,183600,5,1208,2.1,2358.0,1,163,19,22952,25,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1
12,807,906226060,120.0,26400,1,5,7,130,2007,0.0,4,3,0,0,0,0.0,0,0.0,0.0,0.0,5,1,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,1,3,119.0,2.0,576.0,3,3,0,0,0,0,0,0,0,0,6,2009,131000,4,2016,1.05,0.0,0,0,12,24192,16900,529984,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
13,1177,533236070,24.0,2645,1,8,5,11,2000,456.0,4,3,4,3,6,813.0,1,0.0,147.0,960.0,5,1,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,0,0,19.0,2.0,480.0,3,3,169,0,0,0,0,0,0,0,12,2008,200000,6,1607,3.25,4878.0,1,169,20,32140,121,416025,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1
14,1480,907418040,74.0,9627,1,7,5,3,2007,0.0,4,3,4,3,6,24.0,1,0.0,1327.0,1351.0,5,1,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,0,0,12.0,2.0,610.0,3,3,0,50,0,0,0,0,0,0,6,2008,193000,5,1361,2.1,144.0,1,50,19,25859,9,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1
15,324,923202105,93.0,10114,1,5,5,6,2005,0.0,3,3,5,3,1,0.0,1,0.0,1430.0,1430.0,5,1,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,0,0,15.0,2.0,624.0,3,3,0,0,0,0,0,0,0,0,3,2010,173500,4,1430,2.1,0.0,0,0,17,24310,36,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1
16,1311,902301140,34.0,4571,1,5,5,94,1950,0.0,3,3,3,3,1,0.0,1,0.0,624.0,624.0,2,0,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,0,0,103.0,3.0,513.0,2,2,0,0,96,0,0,0,0,0,5,2008,98000,1,1344,1.05,0.0,0,0,14,18816,8836,518400,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
17,770,905101490,80.0,8816,1,5,6,47,1963,0.0,3,3,3,3,3,651.0,1,0.0,470.0,1121.0,3,1,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,0,0,56.0,2.0,480.0,3,3,0,80,0,0,0,0,0,0,6,2009,139000,3,1121,1.7000000000000002,1953.0,1,80,14,15694,2209,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1
18,2063,905107140,71.0,8197,1,6,5,33,1977,148.0,3,3,3,3,1,0.0,1,0.0,660.0,660.0,5,1,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,1,3,42.0,2.0,528.0,3,3,138,0,0,0,0,0,0,0,4,2007,143500,3,1285,1.55,0.0,0,138,15,19275,1089,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1
19,69,528458070,72.0,8640,1,7,5,1,2009,0.0,3,3,4,3,6,24.0,1,0.0,732.0,756.0,5,1,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,0,0,10.0,2.0,614.0,3,3,169,45,0,0,0,0,0,0,6,2010,215200,6,1547,2.6,144.0,1,214,18,27846,1,613089,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1
20,2062,905106150,109.0,8724,1,5,5,42,1968,0.0,3,3,4,3,4,492.0,1,0.0,402.0,894.0,4,1,894,0,0,894,0.0,0.0,1,0,3,1,3,5,1,1,51.0,2.0,450.0,3,3,0,0,0,0,0,0,0,0,5,2007,129000,3,894,1.05,1968.0,1,0,15,13410,1764,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1
